Week of,Thousand_Barrels
1/2/1998,17809
12/26/1997,19288
12/19/1997,19807
12/12/1997,18889
12/5/1997,19260
11/28/1997,18485
11/21/1997,19266
11/14/1997,18611
11/7/1997,19124
10/31/1997,19074
10/24/1997,18848
10/17/1997,18480
10/10/1997,18956
10/3/1997,19201
9/26/1997,19489
9/19/1997,18274
9/12/1997,18546
9/5/1997,17595
8/29/1997,19159
8/22/1997,18507
8/15/1997,19298
8/8/1997,18472
8/1/1997,18108
7/25/1997,19141
7/18/1997,19552
7/11/1997,18456
7/4/1997,19309
6/27/1997,18920
6/20/1997,19154
6/13/1997,18623
6/6/1997,18366
5/30/1997,17149
5/23/1997,18719
5/16/1997,18468
5/9/1997,18304
5/2/1997,20017
4/25/1997,17646
4/18/1997,18383
4/11/1997,17720
4/4/1997,18385
3/28/1997,18360
3/21/1997,18350
3/14/1997,18197
3/7/1997,17422
2/28/1997,16973
2/21/1997,17900
2/14/1997,18207
2/7/1997,18000
1/31/1997,18335
1/24/1997,18258
1/17/1997,18614
1/10/1997,18085
1/3/1997,16375
12/27/1996,18421
12/20/1996,18972
12/13/1996,19464
12/6/1996,17683
11/29/1996,17558
11/22/1996,18100
11/15/1996,18490
11/8/1996,18540
11/1/1996,18687
10/25/1996,18373
10/18/1996,18974
10/11/1996,18129
10/4/1996,18664
9/27/1996,17938
9/20/1996,17999
9/13/1996,17555
9/6/1996,18052
8/30/1996,17974
8/23/1996,18458
8/16/1996,17541
8/9/1996,17787
8/2/1996,18770
7/26/1996,18953
7/19/1996,17901
7/12/1996,17687
7/5/1996,17354
6/28/1996,18955
6/21/1996,18556
6/14/1996,17339
6/7/1996,17600
5/31/1996,17646
5/24/1996,18920
5/17/1996,16887
5/10/1996,17910
5/3/1996,17305
4/26/1996,16874
4/19/1996,16895
4/12/1996,17391
4/5/1996,17941
3/29/1996,17705
3/22/1996,18561
3/15/1996,18193
3/8/1996,17610
3/1/1996,17957
2/23/1996,17871
2/16/1996,18863
2/9/1996,19548
2/2/1996,18152
1/26/1996,18294
1/19/1996,17898
1/12/1996,18285
1/5/1996,18459
12/29/1995,17302
12/22/1995,19138
12/15/1995,18355
12/8/1995,18978
12/1/1995,17841
11/24/1995,17321
11/17/1995,18258
11/10/1995,18344
11/3/1995,17461
10/27/1995,18169
10/20/1995,17962
10/13/1995,17704
10/6/1995,17951
9/29/1995,16378
9/22/1995,17547
9/15/1995,17584
9/8/1995,18087
9/1/1995,17603
8/25/1995,17961
8/18/1995,18232
8/11/1995,17384
8/4/1995,17827
7/28/1995,19506
7/21/1995,17774
7/14/1995,17547
7/7/1995,16901
6/30/1995,18202
6/23/1995,18346
6/16/1995,17922
6/9/1995,17662
6/2/1995,17521
5/26/1995,16365
5/19/1995,17673
5/12/1995,16984
5/5/1995,16665
4/28/1995,17561
4/21/1995,17499
4/14/1995,17114
4/7/1995,17563
3/31/1995,17665
3/24/1995,16781
3/17/1995,17059
3/10/1995,17861
3/3/1995,16863
2/24/1995,18222
2/17/1995,18514
2/10/1995,17766
2/3/1995,16966
1/27/1995,17105
1/20/1995,17121
1/13/1995,17340
1/6/1995,17692
12/30/1994,17859
12/23/1994,19491
12/16/1994,17096
12/9/1994,19222
12/2/1994,16226
11/25/1994,17381
11/18/1994,17680
11/11/1994,17419
11/4/1994,17423
10/28/1994,17715
10/21/1994,17315
10/14/1994,18477
10/7/1994,17014
9/30/1994,17090
9/23/1994,17853
9/16/1994,17095
9/9/1994,17047
9/2/1994,18275
8/26/1994,17052
8/19/1994,18085
8/12/1994,17994
8/5/1994,17899
7/29/1994,16795
7/22/1994,18143
7/15/1994,17142
7/8/1994,17221
7/1/1994,16950
6/24/1994,18109
6/17/1994,17153
6/10/1994,18080
6/3/1994,15824
5/27/1994,18426
5/20/1994,18131
5/13/1994,16683
5/6/1994,16811
4/29/1994,17937
4/22/1994,17145
4/15/1994,16689
4/8/1994,17495
4/1/1994,19815
3/25/1994,16880
3/18/1994,17245
3/11/1994,16848
3/4/1994,17384
2/25/1994,17104
2/18/1994,18229
2/11/1994,18288
2/4/1994,17827
1/28/1994,19126
1/21/1994,18020
1/14/1994,17878
1/7/1994,17837
12/31/1993,17178
12/24/1993,16958
12/17/1993,18538
12/10/1993,18435
12/3/1993,16879
11/26/1993,16341
11/19/1993,18031
11/12/1993,17134
11/5/1993,17859
10/29/1993,17207
10/22/1993,17343
10/15/1993,18316
10/8/1993,17069
10/1/1993,17326
9/24/1993,17282
9/17/1993,17292
9/10/1993,17653
9/3/1993,16367
8/27/1993,17330
8/20/1993,18190
8/13/1993,17752
8/6/1993,18595
7/30/1993,16717
7/23/1993,17771
7/16/1993,17689
7/9/1993,16716
7/2/1993,17931
6/25/1993,16699
6/18/1993,17393
6/11/1993,16674
6/4/1993,16676
5/28/1993,17417
5/21/1993,16418
5/14/1993,17054
5/7/1993,16545
4/30/1993,17920
4/23/1993,17500
4/16/1993,17201
4/9/1993,16753
4/2/1993,16100
3/26/1993,17571
3/19/1993,17894
3/12/1993,16253
3/5/1993,17866
2/26/1993,17704
2/19/1993,17697
2/12/1993,16811
2/5/1993,18017
1/29/1993,17607
1/22/1993,17424
1/15/1993,16119
1/8/1993,15904
1/1/1993,17810
12/25/1992,18613
12/18/1992,18197
12/11/1992,17526
12/4/1992,17118
11/27/1992,16876
11/20/1992,17392
11/13/1992,16581
11/6/1992,16319
10/30/1992,17781
10/23/1992,15859
10/16/1992,17201
10/9/1992,17231
10/2/1992,17830
9/25/1992,16251
9/18/1992,16432
9/11/1992,16525
9/4/1992,16829
8/28/1992,17636
8/21/1992,17100
8/14/1992,17517
8/7/1992,17319
7/31/1992,17100
7/24/1992,16546
7/17/1992,17614
7/10/1992,17503
7/3/1992,17100
6/26/1992,14912
6/19/1992,17251
6/12/1992,15377
6/5/1992,17005
5/29/1992,15455
5/22/1992,16030
5/15/1992,16476
5/8/1992,16020
5/1/1992,17639
4/24/1992,17152
4/17/1992,16008
4/10/1992,17783
4/3/1992,16782
3/27/1992,17621
3/20/1992,16415
3/13/1992,16004
3/6/1992,16763
2/28/1992,15099
2/21/1992,16389
2/14/1992,16630
2/7/1992,17190
1/31/1992,17319
1/24/1992,17852
1/17/1992,16600
1/10/1992,16923
1/3/1992,16707
12/27/1991,17129
12/20/1991,18161
12/13/1991,16536
12/6/1991,16258
11/29/1991,15683
11/22/1991,15978
11/15/1991,17035
11/8/1991,17193
11/1/1991,16254
10/25/1991,17092
10/18/1991,17570
10/11/1991,17042
10/4/1991,17537
9/27/1991,16984
9/20/1991,17053
9/13/1991,16360
9/6/1991,16855
8/30/1991,16731
8/23/1991,16346
8/16/1991,17000
8/9/1991,16902
8/2/1991,16672
7/26/1991,16092
7/19/1991,16948
7/12/1991,15446
7/5/1991,17363
6/28/1991,17242
6/21/1991,17076
6/14/1991,16519
6/7/1991,16226
5/31/1991,16357
5/24/1991,15273
5/17/1991,16306
5/10/1991,15995
4/26/1991,16054
4/19/1991,15799
4/12/1991,15888
4/5/1991,16344
3/29/1991,17481
3/22/1991,16408
3/15/1991,16914
3/8/1991,16982
3/1/1991,16997
2/22/1991,15414
2/15/1991,15627
2/8/1991,16067
2/1/1991,16801
1/25/1991,16246
1/18/1991,16699
1/11/1991,17171
1/4/1991,15968
12/28/1990,17319
12/21/1990,17953
12/14/1990,16669
12/7/1990,16901
11/30/1990,17753
11/23/1990,15686
11/16/1990,17019
11/9/1990,16588
