Week of,Thousand_Barrels
7/20/2018,21727
7/13/2018,21328
7/6/2018,19911
6/29/2018,21241
6/22/2018,20273
6/15/2018,20203
6/8/2018,21789
6/1/2018,18454
5/25/2018,20916
5/18/2018,20635
5/11/2018,20523
5/4/2018,20571
4/27/2018,20163
4/20/2018,19023
4/13/2018,21409
4/6/2018,19806
3/30/2018,21203
3/23/2018,20903
3/16/2018,20629
3/9/2018,20946
3/2/2018,20456
2/23/2018,19885
2/16/2018,20462
2/9/2018,20316
2/2/2018,20849
1/26/2018,21046
1/19/2018,20661
1/12/2018,20809
1/5/2018,20628
12/29/2017,19923
12/22/2017,20791
12/15/2017,21126
12/8/2017,20458
12/1/2017,19951
11/24/2017,19657
11/17/2017,19286
11/10/2017,19762
11/3/2017,21309
10/27/2017,19161
10/20/2017,19977
10/13/2017,19123
10/6/2017,19677
9/29/2017,19740
9/22/2017,21092
9/15/2017,20416
9/8/2017,19707
9/1/2017,20039
8/25/2017,21435
8/18/2017,20683
8/11/2017,20937
8/4/2017,21946
7/28/2017,20620
7/21/2017,21246
7/14/2017,21191
7/7/2017,19946
6/30/2017,22240
6/23/2017,19645
6/16/2017,21069
6/9/2017,19515
6/2/2017,19306
5/26/2017,20748
5/19/2017,20787
5/12/2017,19485
5/5/2017,20571
4/28/2017,19934
4/21/2017,19133
4/14/2017,19460
4/7/2017,19868
3/31/2017,19696
3/24/2017,19883
3/17/2017,19255
3/10/2017,19475
3/3/2017,19880
2/24/2017,19445
2/17/2017,20322
2/10/2017,18604
2/3/2017,20774
1/27/2017,19264
1/20/2017,18625
1/13/2017,20670
1/6/2017,18578
12/30/2016,17904
12/23/2016,20186
12/16/2016,21401
12/9/2016,18899
12/2/2016,19109
11/25/2016,19816
11/18/2016,20063
11/11/2016,19377
11/4/2016,20183
10/28/2016,19924
10/21/2016,20524
10/14/2016,19751
10/7/2016,20743
9/30/2016,20556
9/23/2016,19278
9/16/2016,19436
9/9/2016,20228
9/2/2016,21328
8/26/2016,20153
8/19/2016,20729
8/12/2016,20579
8/5/2016,20672
7/29/2016,20938
7/22/2016,20764
7/15/2016,20641
7/8/2016,19432
7/1/2016,20061
6/24/2016,21176
6/17/2016,19971
6/10/2016,20807
6/3/2016,19740
5/27/2016,20339
5/20/2016,20434
5/13/2016,20792
5/6/2016,19981
4/29/2016,20229
4/22/2016,19808
4/15/2016,20226
4/8/2016,20019
4/1/2016,19926
3/25/2016,19479
3/18/2016,19417
3/11/2016,19287
3/4/2016,19855
2/26/2016,19165
2/19/2016,20682
2/12/2016,19726
2/5/2016,19013
1/29/2016,19146
1/22/2016,21108
1/15/2016,19984
1/8/2016,18542
1/1/2016,18285
12/25/2015,20501
12/18/2015,19767
12/11/2015,20269
12/4/2015,20252
11/27/2015,19822
11/20/2015,19386
11/13/2015,19465
11/6/2015,19803
10/30/2015,19415
10/23/2015,20264
10/16/2015,19485
10/9/2015,19463
10/2/2015,18842
9/25/2015,19615
9/18/2015,20154
9/11/2015,18554
9/4/2015,19758
8/28/2015,20265
8/21/2015,19422
8/14/2015,21375
8/7/2015,20077
7/31/2015,20185
7/24/2015,20246
7/17/2015,21007
7/10/2015,19840
7/3/2015,19259
6/26/2015,19723
6/19/2015,20668
6/12/2015,19971
6/5/2015,19802
5/29/2015,18867
5/22/2015,19971
5/15/2015,20292
5/8/2015,20654
5/1/2015,18224
4/24/2015,19600
4/17/2015,19145
4/10/2015,18995
4/3/2015,19099
3/27/2015,19481
3/20/2015,18712
3/13/2015,19530
3/6/2015,18617
